Player,Age,Team,GPPred,FSPred,ValPred,Conf,Div
Vladimir Tarasenko,32,OTT,64,0.635,1.51,East,Atlantic
Brady Tkachuk,24,OTT,74,1.034,2.83,East,Atlantic
Artem Zub,28,OTT,61,0.237,0.54,East,Atlantic
Ethan Bear,26,VAN,62,-0.036,-0.08,West,Metropolitan
Anthony Beauvillier,26,VAN,69,0.015,0.04,West,Metropolitan
Teddy Blueger,29,VAN,59,-0.502,-1.1,West,Metropolitan
Brock Boeser,26,VAN,67,0.424,1.05,West,Metropolitan
Ian Cole,34,VAN,66,0.295,0.72,West,Metropolitan
Thatcher Demko,28,VAN,52,0.2,0.39,West,Metropolitan
Sheldon Dries,29,VAN,53,-0.5,-0.98,West,Metropolitan
Conor Garland,27,VAN,69,0.2,0.51,West,Metropolitan
Filip Hronek,26,VAN,67,0.239,0.59,West,Metropolitan
