Player,Age,Team,GPPred,FSPred,ValPred,Conf,Div
Chris Tierney,29,NJD,51,-0.618,-1.17,East,Metro
Tyler Toffoli,31,NJD,70,0.596,1.55,East,Metro
Michael Amadio,27,VEG,62,-0.052,-0.12,West,Metropolitan
Ivan Barbashev,28,VEG,69,0.362,0.93,West,Metropolitan
William Carrier,29,VEG,59,-0.081,-0.18,West,Metropolitan
Jack Eichel,27,VEG,63,0.811,1.89,West,Metropolitan
Nicolas Hague,25,VEG,67,0.12,0.3,West,Metropolitan
Adin Hill,27,VEG,48,0.426,0.76,West,Metropolitan
Brett Howden,25,VEG,56,-0.176,-0.37,West,Metropolitan
Ben Hutton,30,VEG,49,-0.148,-0.27,West,Metropolitan
William Karlsson,31,VEG,66,-0.056,-0.14,West,Metropolitan
Keegan Kolesar,26,VEG,66,-0.369,-0.9,West,Metropolitan
Jonathan Marchessault,33,VEG,66,0.491,1.2,West,Metropolitan
Alec Martinez,36,VEG,62,0.708,1.63,West,Metropolitan
Brayden McNabb,33,VEG,67,0.227,0.56,West,Metropolitan
Alex Pietrangelo,34,VEG,65,0.045,0.11,West,Metropolitan
Nicolas Roy,26,VEG,64,0.084,0.2,West,Metropolitan
Chandler Stephenson,29,VEG,69,0.427,1.09,West,Metropolitan
Mark Stone,31,VEG,53,0.477,0.94,West,Metropolitan
Shea Theodore,28,VEG,63,0.476,1.11,West,Metropolitan
Logan Thompson,26,VEG,51,0.633,1.2,West,Metropolitan
Zach Whitecloud,27,VEG,61,0.608,1.37,West,Metropolitan
Tyler Bertuzzi,28,TOR,57,0.413,0.87,East,Atlantic
T.J. Brodie,33,TOR,61,0.257,0.58,East,Atlantic
Max Domi,28,TOR,69,0.187,0.48,East,Atlantic
Mark Giordano,40,TOR,65,0.017,0.04,East,Atlantic
John Klingberg,31,TOR,58,-1.332,-2.86,East,Atlantic
Sam Lafferty,28,TOR,61,-0.477,-1.08,East,Atlantic
Timothy Liljegren,24,TOR,67,0.905,2.25,East,Atlantic
Mitch Marner,26,TOR,73,1.58,4.27,East,Atlantic
Auston Matthews,26,TOR,72,2.082,5.55,East,Atlantic
Jake McCabe,30,TOR,68,-0.032,-0.08,East,Atlantic
William Nylander,27,TOR,74,1.198,3.28,East,Atlantic
