Name,Tm,Pos,Season,Age,GS,G,Rec,Yds,YPR,TD,Fmb,FloStrength,Value
Latavius Murray,BUF,RB,2023,33,0,5,7,49,7,0,0,-1.051764369740006,-0.13147054621750076
Andrew Ogletree,IND,WR,2023,25,3,4,7,95,13.6,1,0,-0.4713712843071145,-0.07856188071785242
Jalen Tolbert,DAL,WR,2023,24,2,5,7,71,10.1,0,0,-0.9775624154707878,-0.20365883655641412
Marquez Valdes-Scantling,KAN,WR,2023,29,5,5,7,116,16.6,0,0,-0.8090430010264718,-0.1685506252138483
Tyler Allgeier,ATL,RB,2023,23,1,5,6,32,5.3,0,0,-1.1804622402767462,-0.14755778003459327
Emari Demercado,ARI,RB,2023,24,0,5,6,40,6.7,0,0,-1.1534797114515758,-0.14418496393144697
Kendre Miller,NOR,RB,2023,21,0,3,6,58,9.7,0,0,-0.7605442269487336,-0.057040817021155016
Ameer Abdullah,LVR,RB,2023,30,0,4,5,35,7,0,0,-1.1438890014204284,-0.11438890014204282
Gary Brightwell,NYG,RB,2023,24,0,5,5,47,9.4,0,0,-1.1677446159073392,-0.1459680769884174
Rico Dowdle,DAL,RB,2023,25,0,5,5,50,10,1,0,-0.9814436434652656,-0.1226804554331582
Clyde Edwards-Helaire,KAN,RB,2023,24,1,5,5,27,5.4,0,0,-1.2519436277729978,-0.1564929534716247
Najee Harris,PIT,RB,2023,25,5,5,5,37,7.4,0,0,-1.2182154667415348,-0.15227693334269185
Deon Jackson,IND,RB,2023,24,1,2,5,14,2.8,0,2,-1.2181166653411828,-0.06090583326705914
Kyle Juszczyk,SFO,RB,2023,32,5,5,5,30,6,1,0,-1.032157275725459,-0.12901965946568236
David Montgomery,DET,RB,2023,26,4,4,5,47,9.4,0,1,-1.116604680775337,-0.11166046807753369
Deuce Vaughn,DAL,RB,2023,22,0,5,5,19,3.8,0,0,-1.278926156598168,-0.15986576957477097
Ty Chandler,MIN,RB,2023,25,0,5,4,31,7.8,0,0,-1.2763269805381998,-0.15954087256727498
Zach Charbonnet,SEA,RB,2023,22,0,4,4,22,5.5,0,0,-1.266968896822206,-0.1266968896822206
Nick Chubb,CLE,RB,2023,28,2,2,4,21,5.2,0,0,-0.951263620338022,-0.0475631810169011
Austin Ekeler,LAC,RB,2023,28,1,1,4,47,11.8,0,0,0.16890179080406184,0.004222544770101546
Tony Jones,NOR,RB,2023,26,1,4,4,21,5.2,0,0,-1.250256554697723,-0.1250256554697723
Devin Singletary,HOU,RB,2023,26,0,5,4,25,6.2,0,0,-1.2798211873543452,-0.15997764841929316
